+----------------+--------+
| pre            | c      |
+----------------+--------+
| www            | 944608 |
| mail           | 278565 |
| ftp            | 168448 |
| smtp           |  84390 |
| pop            |  66903 |
| m              |  47897 |
| webmail        |  47666 |
| autodiscover   |  34347 |
| test           |  27223 |
| bbs            |  26357 |
| mx             |  24846 |
| pop3           |  23673 |
| wap            |  20415 |
| blog           |  20403 |
| oa             |  19323 |
| ns1            |  18690 |
| ns2            |  18290 |
| vpn            |  17627 |
| webdisk        |  17147 |
| www2           |  17145 |
| mysql          |  17033 |
| imap           |  16530 |
| en             |  15114 |
| dev            |  15098 |
| old            |  13143 |
| news           |  13124 |
| admin          |  13077 |
| cpanel         |  13071 |
| whm            |  12737 |
| shop           |  12165 |
| sip            |  11941 |
| ns             |  11833 |
| mobile         |  11767 |
| web            |  11266 |
| new            |  10837 |
| www1           |  10738 |
| email          |   9955 |
| support        |   9748 |
| mail2          |   9639 |
| search         |   9571 |
| media          |   9494 |
| img            |   9123 |
| lyncdiscover   |   8906 |
| secure         |   8735 |
| video          |   8363 |
| api            |   7969 |
| demo           |   7966 |
| crm            |   7912 |
| app            |   7908 |
| beta           |   7898 |
| portal         |   7765 |
| my             |   7713 |
| staging        |   7699 |
| db             |   7474 |
| images         |   7316 |
| dns            |   7256 |
| info           |   6864 |
| ns3            |   6848 |
| static         |   6805 |
| forum          |   6748 |
| mail1          |   6667 |
| intranet       |   6620 |
| cdn            |   6597 |
| download       |   6445 |
| wiki           |   6367 |
| lists          |   6260 |
| cms            |   6250 |
| dns1           |   6096 |
| www3           |   6047 |
| dns2           |   5781 |
| mobilemail     |   5757 |
| store          |   5561 |
| remote         |   5484 |
| home           |   5475 |
| t              |   5406 |
| cn             |   5178 |
| owa            |   5093 |
| cs             |   5087 |
| help           |   4918 |
| service        |   4863 |
| wx             |   4819 |
| apps           |   4762 |
| vip            |   4619 |
| login          |   4611 |
| stats          |   4566 |
| stage          |   4557 |
| 3g             |   4506 |
| online         |   4481 |
| jobs           |   4448 |
| calendar       |   4443 |
| proxy          |   4418 |
| docs           |   4417 |
| survey         |   4368 |
| community      |   4312 |
| forums         |   4294 |
| data           |   4192 |
| services       |   4176 |
| e              |   4140 |
| it             |   4138 |
| live           |   4131 |
| sms            |   4117 |
| s              |   4115 |
| library        |   4055 |
| dialin         |   4052 |
| chat           |   4033 |
| files          |   4033 |
| a              |   4012 |
| meet           |   3993 |
| i              |   3985 |
| blogs          |   3958 |
| hr             |   3957 |
| go             |   3945 |
| office         |   3933 |
| ww             |   3922 |
| ftp2           |   3915 |
| legacy         |   3909 |
| sso            |   3905 |
| b2b            |   3856 |
| d              |   3853 |
| ns4            |   3822 |
| v              |   3801 |
| pda            |   3786 |
| w              |   3749 |
| events         |   3700 |
| cp             |   3686 |
| av             |   3680 |
| svn            |   3611 |
| image          |   3592 |
| connect        |   3555 |
| edu            |   3531 |
| pic            |   3526 |
| erp            |   3525 |
| ssh            |   3524 |
| down           |   3504 |
| ads            |   3381 |
| health         |   3372 |
| es             |   3346 |
| english        |   3332 |
| ad             |   3273 |
| extranet       |   3267 |
| helpdesk       |   3238 |
| exchange       |   3230 |
| training       |   3223 |
| gateway        |   3221 |
| photo          |   3167 |
| finance        |   3161 |
| tv             |   3109 |
| fr             |   3090 |
| sc             |   3085 |
| job            |   3060 |
| ldap           |   3057 |
| lib            |   3052 |
| cloud          |   3050 |
| im             |   3041 |
| upload         |   3016 |
| careers        |   3015 |
| game           |   3001 |
| archive        |   2977 |
| get            |   2953 |
| gis            |   2950 |
| access         |   2943 |
| member         |   2935 |
| mx1            |   2901 |
| newsletter     |   2900 |
| de             |   2881 |
| qa             |   2868 |
| direct         |   2848 |
| alumni         |   2761 |
| mx2            |   2757 |
| hk             |   2755 |
| sp             |   2705 |
| downloads      |   2639 |
| gw             |   2604 |
| update         |   2600 |
| relay          |   2592 |
| jp             |   2575 |
| content        |   2552 |
| file           |   2548 |
| dl             |   2541 |
| citrix         |   2499 |
| vpn2           |   2498 |
| soft           |   2492 |
| ssl            |   2488 |
| preview        |   2481 |
| auth           |   2466 |
| monitor        |   2450 |
| server         |   2440 |
| club           |   2418 |
| so             |   2416 |
| ws             |   2410 |
| host           |   2392 |
| book           |   2385 |
| c              |   2375 |
| www4           |   2365 |
| sh             |   2362 |
| js             |   2359 |
| tools          |   2357 |
| mail3          |   2357 |
| ms             |   2353 |
| mailhost       |   2328 |
| ca             |   2322 |
| backup         |   2314 |
| ntp            |   2311 |
| ask            |   2308 |
| sites          |   2297 |
| share          |   2292 |
| sz             |   2280 |
| spam           |   2277 |
| wwww           |   2276 |
| tw             |   2272 |
| videos         |   2271 |
| send           |   2266 |
| b              |   2253 |
| music          |   2250 |
| project        |   2244 |
| uk             |   2237 |
| start          |   2222 |
| 1              |   2216 |
| mall           |   2215 |
| git            |   2214 |
| ns5            |   2210 |
| outlook        |   2210 |
| reports        |   2204 |
| us             |   2199 |
| partner        |   2188 |
| mssql          |   2181 |
| bj             |   2180 |
| sharepoint     |   2169 |
| link           |   2164 |
| metrics        |   2163 |
| partners       |   2150 |
| manage         |   2147 |
| smtp2          |   2144 |
| webproxy       |   2138 |
| mdm            |   2137 |
| jira           |   2137 |
| marketing      |   2132 |
| ts             |   2124 |
| security       |   2117 |
| map            |   2102 |
| ir             |   2100 |
| fs             |   2094 |
| origin         |   2091 |
| travel         |   2088 |
| feeds          |   2085 |
| weixin         |   2085 |
| status         |   2082 |
| meeting        |   2066 |
| u              |   2064 |
| photos         |   2062 |
| hq             |   2043 |
| tj             |   2038 |
| research       |   2030 |
| pt             |   2030 |
| members        |   2027 |
| ru             |   2024 |
| bm             |   2022 |
| business       |   2014 |
| eq             |   2011 |
| test2          |   1996 |
| cc             |   1995 |
| w3             |   1962 |
| student        |   1958 |
| auto           |   1954 |
| dx             |   1951 |
| p              |   1945 |
| rs             |   1943 |
| dns3           |   1933 |
| vc             |   1931 |
| assets         |   1912 |
| gmail          |   1906 |
| uc             |   1901 |
| press          |   1899 |
| web1           |   1896 |
